ts,action,img_path,user_x,lat,lon
1600250280.0,travel,./ETRI_data_RP_png/user04/1600207800/RP/1600250280.png,user04,37.475682160000005,127.1278829
1600427880.0,study,./ETRI_data_RP_png/user09/1600403400/RP/1600427880.png,user09,37.38150812,127.23047525
1600054140.0,travel,./ETRI_data_RP_png/user01/1600013400/RP/1600054140.png,user01,37.291014915,127.11665630500002
1600059840.0,travel,./ETRI_data_RP_png/user01/1600013400/RP/1600059840.png,user01,37.276131510000006,127.15250357499995
1599968580.0,travel,./ETRI_data_RP_png/user04/1599957060/RP/1599968580.png,user04,37.435006025,127.13845220833332
1599968580.0,study,./ETRI_data_RP_png/user02/1599922800/RP/1599968580.png,user02,37.5297575,127.03755205384616
1600776180.0,outdoor_act,./ETRI_data_RP_png/user03/1600707600/RP/1600776180.png,user03,37.48748294615385,126.98166843846153
1600624860.0,travel,./ETRI_data_RP_png/user01/1600614000/RP/1600624860.png,user01,37.477993275,126.96145744000005
1599465660.0,study,./ETRI_data_RP_png/user09/1599436800/RP/1599465660.png,user09,37.38708987692308,127.2385123307692
1599822300.0,outdoor_act,./ETRI_data_RP_png/user04/1599776160/RP/1599822300.png,user04,37.43498945833333,127.13832775833332
1601005080.0,travel,./ETRI_data_RP_png/user01/1601002200/RP/1601005080.png,user01,37.482762570000006,127.01292178500005
1600488000.0,travel,./ETRI_data_RP_png/user03/1600448400/RP/1600488000.png,user03,37.52251375499999,127.01490061500002
1601099700.0,study,./ETRI_data_RP_png/user09/1601071200/RP/1601099700.png,user09,37.38153574444444,127.23045895555556
1599531360.0,travel,./ETRI_data_RP_png/user04/1599522960/RP/1599531360.png,user04,37.491432235000005,127.03799803999998
1599189960.0,study,./ETRI_data_RP_png/user09/1599181560/RP/1599189960.png,user09,37.387074,127.23844693333334
1600576620.0,travel,./ETRI_data_RP_png/user01/1600527600/RP/1600576620.png,user01,37.576325375,127.0011774625
1600576620.0,travel,./ETRI_data_RP_png/user03/1600533000/RP/1600576620.png,user03,37.67108027000001,127.48820085
1600767180.0,travel,./ETRI_data_RP_png/user03/1600707600/RP/1600767180.png,user03,37.5598117047619,126.97975121904764
1599270600.0,travel,./ETRI_data_RP_png/user04/1599261300/RP/1599270600.png,user04,36.10297224,127.01787219
1599270600.0,study,./ETRI_data_RP_png/user01/1599269580/RP/1599270600.png,user01,37.4823895625,126.9562535125
