,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,ts_x,action,img_path,user_x_x,ts_y,action_y,user_x_y,lat,lon
0,0,0,9715,1599768660,sleep,../dataset_2020/user26-30/user28/1599765240/mfcc/1599768660.jpeg,user28,1599768660.0,sleep,user28,35.094899975,129.03937543333333
1,1,1,9801,1599768120,sleep,../dataset_2020/user26-30/user28/1599765240/mfcc/1599768120.jpeg,user28,1599768120.0,sleep,user28,35.094493099999994,129.03897958333334
2,2,2,9824,1599768420,sleep,../dataset_2020/user26-30/user28/1599765240/mfcc/1599768420.jpeg,user28,1599768420.0,sleep,user28,35.0906066,129.04323270000003
3,3,3,9828,1599768240,sleep,../dataset_2020/user26-30/user28/1599765240/mfcc/1599768240.jpeg,user28,1599768240.0,sleep,user28,35.094867300000004,129.03968447272726
4,4,4,9860,1599768060,sleep,../dataset_2020/user26-30/user28/1599765240/mfcc/1599768060.jpeg,user28,1599768060.0,sleep,user28,35.094491475,129.03899486666668
5,5,5,9893,1599768600,sleep,../dataset_2020/user26-30/user28/1599765240/mfcc/1599768600.jpeg,user28,1599768600.0,sleep,user28,35.09427914166667,129.0404157
6,6,6,9906,1599768300,sleep,../dataset_2020/user26-30/user28/1599765240/mfcc/1599768300.jpeg,user28,1599768300.0,sleep,user28,35.091774475,129.04254053333338
7,7,7,9961,1599768540,sleep,../dataset_2020/user26-30/user28/1599765240/mfcc/1599768540.jpeg,user28,1599768540.0,sleep,user28,35.094048658333335,129.0408966416667
8,8,8,9975,1599768360,sleep,../dataset_2020/user26-30/user28/1599765240/mfcc/1599768360.jpeg,user28,1599768360.0,sleep,user28,35.0906066,129.04323270000003
9,9,9,10026,1599768720,sleep,../dataset_2020/user26-30/user28/1599765240/mfcc/1599768720.jpeg,user28,1599768720.0,sleep,user28,35.0948603,129.0392791
10,10,10,10067,1599768180,sleep,../dataset_2020/user26-30/user28/1599765240/mfcc/1599768180.jpeg,user28,1599768180.0,sleep,user28,35.094503375,129.03903609374998
11,11,11,10129,1599768480,sleep,../dataset_2020/user26-30/user28/1599765240/mfcc/1599768480.jpeg,user28,1599768480.0,sleep,user28,35.09510015,129.04011724166665
12,12,12,10132,1599768000,sleep,../dataset_2020/user26-30/user28/1599765240/mfcc/1599768000.jpeg,user28,1599768000.0,sleep,user28,35.094490854545455,129.03899763636366
13,13,13,10136,1601107680,sleep,../dataset_2020/user26-30/user28/1601072700/mfcc/1601107680.jpeg,user28,1601107680.0,sleep,user28,37.44623389166666,126.680666375
14,14,14,10137,1601109420,sleep,../dataset_2020/user26-30/user28/1601072700/mfcc/1601109420.jpeg,user28,1601109420.0,sleep,user28,37.446251816666674,126.68068253333335
